item_id,Model,CPU,GPU,RAM,Storage,price,bench,cpu_bench,gpu_bench,value
LPLEN03269OB,IdeaPad 3,AMD Ryzen 7 5825U,Integrated Radeon ,8.0,256GB,522.39,31.74845585742294,18458.0,13.2,607.7538976133337
LPLEN03414OB,IdeaPad,Intel i3-1215U,Intel HD ,4.0,128GB,312.55,18.467275166274234,11032.0,4.2,590.8582679978958
LPLEN03269,IdeaPad 3,AMD Ryzen 7 5825U,Integrated Radeon ,8.0,256GB,549.88,31.74845585742294,18458.0,13.2,577.3706237255936
LPLEN03053OB,IdeaPad 5,AMD Ryzen 7 5825U,Integrated Radeon,8.0,512GB,552.78999023437,31.74845585742294,18458.0,13.2,574.3312364242041
LPLEN03430OB,IdeaPad Slim 3,AMD Ryzen 7 7730U,,8.0,512GB,569.89,32.34193729085897,18824.0,13.2,567.5119284574037
LPLEN03414,IdeaPad,Intel i3-1215U,Intel HD ,4.0,128GB,329.0,18.467275166274234,11032.0,4.2,561.3153545980011
LPLEN03097OB,IdeaPad 3,AMD Ryzen 5 5625U,AMD Radeon ,12.0,512GB,474.89,26.047285360049777,15078.0,11.6,548.4909212670256
LPLEN03053,IdeaPad 5,AMD Ryzen 7 5825U,Integrated Radeon,8.0,512GB,581.88000488281,31.74845585742294,18458.0,13.2,545.6186084932932
LPACE00912OB,Nitro 5,Intel Core i5-11400H,GTX 1650,8.0,256GB,526.39,28.520924265429482,15822.0,20.8,541.8211642589997
LPLEN03430,IdeaPad Slim 3,AMD Ryzen 7 7730U,,8.0,512GB,599.88,32.34193729085897,18824.0,13.2,539.1401162042238
LPASU00720OB,G17,AMD Ryzen 9 7945HX,NVIDIA RTX 4060,16.0,1TB,1799.1,96.37741046831955,55503.0,46.3,535.6979071108863
LPASU00719,G713PU-DS91-CA,AMD Ryzen 9 7945HX,RTX 4050,16.0,1TB,1799.0,95.77134986225896,55503.0,41.9,532.3588096845967
LPHEW01653OB,15-ef1013dx,AMD Ryzen 7 4700U,AMD Radeon ,8.0,512GB,445.43999923706,23.400941919154693,13446.0,11.6,525.344422576224
LPHEW02095OB,Victus 15-fb1010ca,AMD Ryzen 5 7535HS,GeForce RTX 2050,8.0,512GB,629.1,32.82930429045381,18445.0,21.2,521.8455617621016
LPASU00809OB,ROG Strix G16,Intel i9-13980HX,GeForce RTX 4060,16.0,1TB,1619.1,84.20131187905412,47994.0,46.3,520.0501011614732
