item_id,Model,CPU,GPU,RAM,Storage,price,bench,cpu_bench,gpu_bench,value
LPMSI00429OB,Katana GF66,Intel Core i7-11800H,RTX3060,16.0,512GB,786.48999847412,47.621005669710655,20753.0,42.0,605.4877463426213
LPCOI00001OB,VOYAGER Gaming Notebook,AMD Ryzen 7 6800HS,Radeon 6800M,16.0,1TB,989.89,58.275161360498274,22947.0,54.6,588.7034050298344
LPGIG00147OB,G5 KF-E3US333SH,Intel i5-12500H,GeForce RTX 4060,8.0,512GB,899.1,51.274292670949364,21521.0,46.3,570.2846476582067
LPHEW02076OB,Victus Gaming Notebook,AMD Ryzen 5 7640HS,GeForce RTX 4050,16.0,512GB,899.1,49.92768241400994,23390.0,41.9,555.307334156489
LPGIG00135OB,AERO 16 XE4,Intel Core i7-12700H,GeForce RTX 3070 Ti,16.0,2TB,1079.1,59.75453191942719,26424.0,52.2,553.7441564213436
LPGIG00160OB,G5 Gaming Notebook,Intel i5-12450H,GeForce RTX 4050,16.0,512GB,809.1,44.58202542249596,17456.0,41.9,551.0076062599921
LPACE00912OB,Nitro 5,Intel Core i5-11400H,GTX 1650,8.0,256GB,526.39,28.57835247681497,15822.0,20.8,542.9121464468354
LPGIG00142OB,G5 KE-52US213SH,Intel i5-12500H,GeForce RTX 3060,16.0,512GB,899.89,48.31286016406231,21521.0,42.0,536.8751754554703
LPGIG00162OB,G5 KF,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,989.1,52.85979255383858,23281.0,46.3,534.4231377397491
LPACE00980OB,Nitro 5,AMD Ryzen 7 5800H,GeForce RTX 3060,16.0,512GB,899.1,47.960626951443174,21130.0,42.0,533.4292843003357
LPASU00584OB,TUF Gaming Notebook,Ryzen 7 5800H,GeForce RTX 3060,16.0,512GB,899.89,47.960626951443174,21130.0,42.0,532.9609946931645
LPMSI00467OB,Crosshair 15,Intel Core i7-12700H,RTX3070Ti,16.0,512GB,1129.39,59.75453191942719,26424.0,52.2,529.0867806464302
LPGIG00147,G5,Intel i5-12500H,GeForce RTX 4060,8.0,512GB,999.0,51.274292670949364,21521.0,46.3,513.256182892386
LPMSI00530OB,Katana GF66,Intel i5-11400H,GeForce RTX 3050,8.0,512GB,651.48999847412,33.1926775456855,15822.0,27.5,509.4886740153702
LPHEW02076,Victus Gaming Notebook,AMD Ryzen 5 7640HS,GeForce RTX 4050,16.0,512GB,999.0,49.92768241400994,23390.0,41.9,499.77660074084014
LPHEW02095OB,Victus 15-fb1010ca,AMD Ryzen 5 7535HS,GeForce RTX 2050,8.0,512GB,629.1,31.21676990730752,18445.0,21.2,496.2131601860994
LPACE00877OB,Nitro 5,Intel i7-11800H,NVIDIA GeForce RTX3060,16.0,512GB,961.08999023437,47.621005669710655,20753.0,42.0,495.48956032824634
LPACE00967OB,Nitro 5,Intel i9-12900H,GeForce RTX 4060,16.0,1TB,1169.1,57.58296067087729,28524.0,46.3,492.54093465808995
LPLEN03269OB,IdeaPad 3,AMD Ryzen 7 5825U,Integrated Radeon ,8.0,256GB,522.39,25.718839112709713,18458.0,13.2,492.33023435957256
LPMSI00559OB,Thin GF63,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,1079.1,52.85979255383858,23281.0,46.3,489.85073259047897
LPHEW02079,Victus 16,AMD Ryzen 7 7840HS,GeForce RTX 4060,16.0,1TB,1199.0,57.9099700217232,28887.0,46.3,482.9855714906022
LPMSI00572OB,Thin GF63,Intel i5-12450H,GeForce RTX 2050,8.0,512GB,629.1,30.325827075388524,17456.0,21.2,482.0509787853842
LPACE00968OB,Nitro 5,Intel i5-12450H,GeForce RTX 4060,16.0,512GB,989.1,47.612328452799,17456.0,46.3,481.37021992517435
LPGIG00162,G5 KF,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,1099.0,52.85979255383858,23281.0,46.3,480.98082396577416
LPACE00980,Nitro 5,AMD Ryzen 7 5800H,GeForce RTX 3060,16.0,512GB,999.0,47.960626951443174,21130.0,42.0,480.08635587030204
LPHEW01865OB,Omen 16-b0020ca,Intel Core i7-11800H,NVIDIA GeForce RTX 3070,16.0,1TB,1091.5900007629,51.753237074669336,20753.0,48.0,474.1087499748035
LPGIG00133OB,A5 K1,AMD Ryzen 5 5600H,GeForce RTX 3060,16.0,512GB,936.79000152588,44.32388659506604,17093.0,42.0,473.14645249062835
LPLEN03269,IdeaPad 3,AMD Ryzen 7 5825U,Integrated Radeon ,8.0,256GB,549.88,25.718839112709713,18458.0,13.2,467.7173040065053
LPLEN03053OB,IdeaPad 5,AMD Ryzen 7 5825U,Integrated Radeon,8.0,512GB,552.78999023437,25.718839112709713,18458.0,13.2,465.255152355518
LPMSI00504OB,GP66 Leopard,Intel Core i7-11800H,NVIDIA RTX3070,16.0,512GB,1114.0900007629,51.753237074669336,20753.0,48.0,464.5337184538956
