item_id,Model,CPU,GPU,RAM,Storage,price,bench,cpu_bench,gpu_bench,value
LPCOI00001OB,VOYAGER Gaming Notebook,AMD Ryzen 7 6800HS,Radeon 6800M,16.0,1TB,989.89,71.82032152829801,22947.0,54.6,725.5384085938641
LPMSI00429OB,Katana GF66,Intel Core i7-11800H,RTX3060,16.0,512GB,786.48999847412,55.80519286947933,20753.0,42.0,709.5473938352394
LPGIG00147OB,G5 KF-E3US333SH,Intel i5-12500H,GeForce RTX 4060,8.0,512GB,899.1,61.27414228074636,21521.0,46.3,681.5053084278318
LPGIG00160OB,G5 Gaming Notebook,Intel i5-12450H,GeForce RTX 4050,16.0,512GB,809.1,55.08720398257081,17456.0,41.9,680.8454329819652
LPGIG00135OB,AERO 16 XE4,Intel Core i7-12700H,GeForce RTX 3070 Ti,16.0,2TB,1079.1,69.47156754091024,26424.0,52.2,643.7917481318715
LPHEW02076OB,Victus Gaming Notebook,AMD Ryzen 5 7640HS,GeForce RTX 4050,16.0,512GB,899.1,56.156335380873614,23390.0,41.9,624.5838658755823
LPGIG00162OB,G5 KF,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,989.1,61.5912422573242,23281.0,46.3,622.6998509485815
LPGIG00142OB,G5 KE-52US213SH,Intel i5-12500H,GeForce RTX 3060,16.0,512GB,899.89,55.943563768349655,21521.0,42.0,621.6711350092751
LPACE00980OB,Nitro 5,AMD Ryzen 7 5800H,GeForce RTX 3060,16.0,512GB,899.1,55.873117125825836,21130.0,42.0,621.4338463555315
LPASU00584OB,TUF Gaming Notebook,Ryzen 7 5800H,GeForce RTX 3060,16.0,512GB,899.89,55.873117125825836,21130.0,42.0,620.888298856814
LPMSI00467OB,Crosshair 15,Intel Core i7-12700H,RTX3070Ti,16.0,512GB,1129.39,69.47156754091024,26424.0,52.2,615.1246915672198
LPGIG00147,G5,Intel i5-12500H,GeForce RTX 4060,8.0,512GB,999.0,61.27414228074636,21521.0,46.3,613.3547775850486
LPACE00968OB,Nitro 5,Intel i5-12450H,GeForce RTX 4060,16.0,512GB,989.1,60.54174943711628,17456.0,46.3,612.0892673856665
LPGIG00133OB,A5 K1,AMD Ryzen 5 5600H,GeForce RTX 3060,16.0,512GB,936.79000152588,55.1457690545504,17093.0,42.0,588.6673530324493
LPACE00877OB,Nitro 5,Intel i7-11800H,NVIDIA GeForce RTX3060,16.0,512GB,961.08999023437,55.80519286947933,20753.0,42.0,580.6448244859023
LPHEW01865OB,Omen 16-b0020ca,Intel Core i7-11800H,NVIDIA GeForce RTX 3070,16.0,1TB,1091.5900007629,63.24320939840494,20753.0,48.0,579.3677970135763
LPMSI00559OB,Thin GF63,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,1079.1,61.5912422573242,23281.0,46.3,570.7649175917358
LPMSI00504OB,GP66 Leopard,Intel Core i7-11800H,NVIDIA RTX3070,16.0,512GB,1114.0900007629,63.24320939840494,20753.0,48.0,567.6669690518506
LPMSI00530OB,Katana GF66,Intel i5-11400H,GeForce RTX 3050,8.0,512GB,651.48999847412,36.941565812167404,15822.0,27.5,567.0319713071525
LPHEW02076,Victus Gaming Notebook,AMD Ryzen 5 7640HS,GeForce RTX 4050,16.0,512GB,999.0,56.156335380873614,23390.0,41.9,562.125479288024
LPMSI00560OB,Thin GF63,Intel i5-12450H,GeForce RTX 4060,16.0,512GB,1079.1,60.54174943711628,17456.0,46.3,561.0392867863617
LPGIG00162,G5 KF,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,1099.0,61.5912422573242,23281.0,46.3,560.4298658537233
LPACE00980,Nitro 5,AMD Ryzen 7 5800H,GeForce RTX 3060,16.0,512GB,999.0,55.873117125825836,21130.0,42.0,559.2904617199782
LPACE00968,Nitro 5,Intel i5-12450H,GeForce RTX 4060,16.0,512GB,1099.0,60.54174943711628,17456.0,46.3,550.8803406470998
LPACE00912OB,Nitro 5,Intel Core i5-11400H,GTX 1650,8.0,256GB,526.39,28.635780688200462,15822.0,20.8,544.0031286346713
LPACE00967OB,Nitro 5,Intel i9-12900H,GeForce RTX 4060,16.0,1TB,1169.1,62.535875880731936,28524.0,46.3,534.9061319025913
LPACE00877,Nitro 5,Intel i7-11800H,NVIDIA GeForce RTX3060,16.0,512GB,1067.8800048828,55.80519286947933,20753.0,42.0,522.579246865887
LPHEW02079,Victus 16,AMD Ryzen 7 7840HS,GeForce RTX 4060,16.0,1TB,1199.0,62.60127775090112,28887.0,46.3,522.1124082643963
LPACE00816,Nitro,Intel i5-11400H,NVIDIA GeForce RTX 3050,8.0,512GB,715.88,36.941565812167404,15822.0,27.5,516.0301420931917
LPGIG00124OB,AERO 16 XE5,Intel Core i7-12700H,NVIDIA GeForce RTX 3070 Ti,32.0,2 TB,1349.89,69.47156754091024,26424.0,52.2,514.6461381365166
LPMSI00496OB,GF63 11UC-692,Intel i5-11400H,NVIDIA RTX3050,8.0,512GB,719.1,36.941565812167404,15822.0,27.5,513.7194522620971
LPMSI00559,Thin GF63,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,1199.0,61.5912422573242,23281.0,46.3,513.6884258325621
LPHEW02058,Victus 15-fa1000ca,Intel i5-13500H,GeForce RTX 4050,16.0,512GB,1099.0,56.13813816630863,23289.0,41.9,510.8110843158201
LPMSI00560,Thin GF63,Intel i5-12450H,GeForce RTX 4060,16.0,512GB,1199.0,60.54174943711628,17456.0,46.3,504.9353581077254
LPHEW02087OB,Victus 15-fb0000ca,AMD Ryzen 5 5600H,GeForce RTX 3050 Ti,16.0,512GB,764.1,38.038331038021475,17093.0,28.2,497.818754587377
LPHEW02035OB,Omen 16-wd0010ca,Intel i7-13620H,GeForce RTX 4060,16.0,1TB,1259.1,62.16922903281381,26489.0,46.3,493.75926481465973
LPMSI00564OB,Bravo 15,AMD Ryzen 7 7735HS,GeForce RTX 4060,32.0,1TB,1259.1,61.76834980106057,24264.0,46.3,490.5754094278498
LPMSI00539OB,Katana 15,Intel i7-12650H,GeForce RTX 4060,16.0,1TB,1259.1,61.5912422573242,23281.0,46.3,489.16878927268846
LPACE00956OB,Nitro 5,Intel i7-12650H,GeForce RTX 4060,16.0,512GB,1259.1,61.5912422573242,23281.0,46.3,489.16878927268846
LPACE00896OB,A715,AMD Ryzen 7 5700U,RTX3050,16.0,512GB,764.1,36.947331266287,15854.0,27.5,483.54052174174853
LPASU00686OB,TUF Gaming Notebook,AMD Ryzen 7 7735HS,AMD Radeon RX 7600S,16.0,1TB,1349.1,64.99149029692835,24264.0,48.9,481.73960638150135
LPACE00967,Nitro 5,Intel i9-12900H,GeForce RTX 4060,16.0,1TB,1299.0,62.535875880731936,28524.0,46.3,481.41551871233213
LPLEN02719OB,T470,Intel Core i5-6300U,Intel HD  620,8.0,256 GB,262.69000019073,12.484578675890203,3240.0,9.6,475.25899984108975
LPMSI00293OB,GF75 10UEK-003CA,Intel Core i7-10750H,RTX3060,16.0,512GB,1146.4900003815,54.23032304262312,12012.0,42.0,473.01174039527353
LPLEN03469OB,Legion Pro 5i,Intel i7-13700HX,GeForce RTX 4060,16.0,512GB,1349.1,63.54230796548413,34110.0,46.3,470.99776121476634
LPHEW02095OB,Victus 15-fb1010ca,AMD Ryzen 5 7535HS,GeForce RTX 2050,8.0,512GB,629.1,29.604235524161226,18445.0,21.2,470.5807586100974
LPLEN03434OB,,AMD Ryzen 7 7745HX,GeForce RTX 4060,16.0,512GB,1349.1,63.32592326555799,32909.0,46.3,469.39384230641167
LPACE00953,Nitro Gaming Notebook ,AMD Ryzen R5-7535HS,GeForce RTX 3050,8.0,512GB,799.0,37.41415287953313,18445.0,27.5,468.26223879265495
LPMSI00572OB,Thin GF63,Intel i5-12450H,GeForce RTX 2050,8.0,512GB,629.1,29.42604695777743,17456.0,21.2,467.74832232995436
LPASU00715OB,TUF F15,Intel i9-13900H,GeForce RTX 4060,16.0,1TB,1349.1,62.74541410389105,29687.0,46.3,465.0909058178864
LPASU00556,G17,AMD Ryzen 7 4800H,NVIDIA GeForce RTX 3060,16.0,1TB,1196.88,55.42683494288077,18653.0,42.0,463.09433646548325
LPMSI00496,GF63,Intel i5-11400H,RTX3050,8.0,512GB,799.0,36.941565812167404,15822.0,27.5,462.3475070358874
LPASU00787,FX506HCB-DB59-CA,Intel i5-11400H,GeForce RTX 3050,8.0,512GB,799.0,36.941565812167404,15822.0,27.5,462.3475070358874
LPLEN03438OB,Legion Pro 5,AMD Ryzen 7 7745HX,GeForce RTX 4070,16.0,512GB,1529.1,70.02013814159106,32909.0,51.7,457.91732484200554
