item_id,Model,CPU,GPU,RAM,Storage,price,bench,cpu_bench,gpu_bench,value
LPLGE00027,gram,Intel i5-1240P,Intel Iris Xe ,8.0,512GB,1167.88,19.582041801626982,17320.0,10.6,167.6716940235896
LPDYA00003,C50-J,Intel Core i5-1135G7,Integrated GPU,8.0,256GB,929.0,15.566583177768814,9891.0,10.6,167.56278985757606
LPHEW01833OB,EliteBook 650 G9,Intel i5-1245U,,16.0,256GB,1048.7599990845,17.507018829895728,13481.0,10.6,166.93064995974512
LPACE00491,Aspire 5,Intel i7-10510U,Intel UHD 620 graphics,8.0,512GB,585.88,9.764118178110543,6648.0,6.4,166.65730487660514
LPLEN03487,21JN0073US,Intel i7-1355U,,16.0,512GB,1199.0,19.93324685152154,15294.0,12.1,166.24893120535066
LPMSI00590,Modern 14,Intel i7-1355U,,16.0,1TB,1199.0,19.93324685152154,15294.0,12.1,166.24893120535066
LPMSI00587,CreatorPro M16,Intel i7-13700H,NVIDIA RTX A1000,32.0,1TB,2399.0,39.66163767783828,27890.0,25.5,165.32570936989697
LPLEN02397OB,,Intel i5-1135G7,Intel Iris Xe ,8.0,256GB,949.89,15.566583177768814,9891.0,10.6,163.8777456102161
LPLEN03708,V15 G4,Intel i5-1335U,,16.0,1TB,1199.0,19.370701874055502,16929.0,10.6,161.55714657260634
LPASU00765OB,Zenbook S 13 OLED EVO,Intel i7-1355U,,16.0,1TB,1234.05,19.93324685152154,15294.0,12.1,161.52706009903602
LPMSI00379,Modern 14,Intel Core i7-1195G7,Intel Iris Xe,8.0,512GB,1099.0,17.63066861250743,11034.0,12.1,160.42464615566362
LPRAZ00055,Blade 15,Intel Core i7-12800H,GeForce RTX 3070 Ti,16.0,1TB,3999.0,63.82768677681483,24971.0,52.2,159.60911922184252
LPHEW02023,Consumer Notebook 14,AMD Ryzen 5 7520U,AMD Radeon ,8.0,512GB,599.0,9.556606500162376,9475.0,4.6,159.54267946848708
LPHEW01833,EliteBook 650 G9,Intel i5-1245U,,16.0,256GB,1103.9599990845,17.507018829895728,13481.0,10.6,158.58381503328087
LPDYA00005,C50-J,Intel Core i7-1165G7,Integrated GPU,8.0,256GB,1089.0,17.259337333117127,10347.0,12.1,158.48794612596078
LPMSI00532,TITAN GT77,Intel i9-13980HX,GeForce RTX 4080,64.0,2TB,5599.0,88.51705804600243,47994.0,64.9,158.09440622611615
LPMSI00597,Prestige 13 EVO,Intel i7-1360P,,16.0,512GB,1399.0,22.103399816226148,19309.0,12.1,157.99428031612686
LPCNO00054,ThinkPad E15 Gen 2,Intel Core i5-1135G7,Intel Iris Xe ,8.0,256GB,999.0,15.566583177768814,9891.0,10.6,155.82165343111927
LPACE00948,A317-53-591M,Intel i5-1135G7,Integrated GPU,8.0,512GB,999.0,15.566583177768814,9891.0,10.6,155.82165343111927
LPLEN03427,IdeaPad 1 15AMN7,AMD Athlon Gold 7220U,AMD Radeon 610M ,4.0,128GB,449.99,7.001609472974657,4748.0,4.6,155.59477928342088
LPLEN03042OB,ThinkBook 15 G4,Intel Core i7-1255U,,16.0,512GB,1234.05,19.11058861683152,13772.0,12.1,154.8607318733562
