Model,Codename,Architecture,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type,Max. Memory,DirectX,OpenGL,Process (nm),Days old,Perf. Rating,3DMark Ice Storm GPU,3DMark Cloud Gate Standard Score,3DMark Cloud Gate GPU,3DMark11 P,3DMark11 P GPU,3DMark Fire Strike Score,3DMark Fire Strike Graphics,3DMark Time Spy Score,3DMark Time Spy Graphics,3DMark Vantage P,3DMark06,3DMark01,GFXBench,GFXBench 3.0 1080p Manhattan Offscreen,GFXBench 3.1 Manhattan ES 3.1 Offscreen,Basemark GPU 1.2 Vulkan Medium Offscreen,Basemark X 1.1 Medium Quality,Basemark X 1.1 High Quality,"Unigine Heaven 3.0 DX 11, Normal Tessellation, High Shaders",Unigine Valley 1.0 Extreme HD DirectX,Cinebench R15 OpenGL 64Bit,Cinebench R10 32Bit OpenGL,"ComputeMark v2.1 Normal, Score",LuxMark v2.0 64Bit Sala GPUs-only
Apple M2 Max 30-Core GPU,,,,,,,LPDDR5-6400,,,,5,332,~8.54%,,,,,,,,,,,,,,,,,,,,,145.7,,,
NVIDIA GeForce RTX 3060 Laptop GPU,GN20-E3 GA106,Ampere,817,1702,14000,192,GDDR6,6144,12_2,4.6,8,1075,~4258%,466087n6,45661n39,104826n38,23069n44,27419n43,18748.5n50,20609n49,8322n50,8222n49,57333,47118n4,,,,,,,,,97.4,187n44,14081n3,,
Apple M1 Max 32-Core GPU,,,1296,,,512,LPDDR5-6400,,,,5,1118,~28.717%,,,,,,,,,,,,,2251.8n2,1227.24n2,920.95n2,,,,,,94.35n2,,,
AMD Radeon RX 7600S,Navi 33,RDNA 3,,1865,16000,128,GDDR6,8192,12,4.6,6,344,~48.954%,,61238n3,155806n3,28571n4,34217.5n4,23167n3,25900n3,9372n3,9203n3,79339,51164n2,,,,,,,,,,209n3,15192,17320,
NVIDIA GeForce RTX 2070 Super Mobile,N18E-G2R,Turing,1140,1380,14002,256,GDDR6,8192,12_1,4.6,12,1340,~45.554%,481195n3,46745n7,126287n7,24028.5n8,29092.5n8,18919.5n12,22016n12,8315.5n12,8272n12,70601,43041,,,,,,,,,,142.1n9,,15586,
NVIDIA GeForce RTX 2080 Super Max-Q,N18E-G3,Turing,975,1230,11000,256,GDDR6,8192,12_1,4.6,12,1340,~41.658%,468363n3,44534n7,127741n7,24119n10,29636.5n10,18578.5n10,21902.5n10,8075n11,8331n11,60306,38265,,,,,,,,,,142n9,13620,16221,
NVIDIA RTX A3000 Laptop GPU,GA104,Ampere,1080,1560,14000,192,GDDR6,12288,12_2,4.6,8,965,~32.163%,,24449,29996,23888n3,25990n3,18097n3,19710n3,7703n3,7320n3,71308,,,1777,680,500,,,,,,290n3,,18652,6178
Apple M1 Max 24-Core GPU,,,1296,,,,LPDDR5-6400,,,,5,1118,~25.917%,,,,,,,,,,,,,2027,1153,686,,,,,,94,,,
Intel Arc A770M,Alchemist,Xe HPG,1650,,16000,256,GDDR6,16384,12_2,4.6,6,625,~47.963%,,53345,124487,29170,37375,22178.5n2,25563n2,10997,10783,77403,48471,,,,,,,,,75.2,216.53,18594,20027,10975
AMD Radeon RX 6650M XT,,RDNA 2,,2162,18000,128,GDDR6,8192,12,4.6,7,710,,,,,,,,,,,,,,,,,,,,,,,,,
Apple M3 Pro 18-Core GPU,,,,,,,LPDDR5-6400,,,,5,45,~26.913%,,,,,,,,,,,,,1480,936,670,,,,,,,,,
Apple M2 Pro 19-Core GPU,,,444,1398,,,LPDDR5-6400,,,,5,332,~26.517%,,,,,,,,,,,,,1969.6n2,1131.2n2,748.2n2,,,,,,140.91,,,
AMD Radeon RX 6650M,,RDNA 2,,2222,18000,128,GDDR6,8192,12,4.6,7,710,~40.829%,,,,26153,32846,22516,25739,8869,8700,,,,,,,,,,,,175.8,,,
AMD Radeon RX 6600M,R21M-E65-70,RDNA 2,2068,2177,14000,128,GDDR6,8192,12,4.6,7,1188,~42.171%,479404n5,54130.5n6,144612n6,25585n6,31868n6,20855n6,23525n7,8094n6,7840n7,72685.5n4,45858.5n4,,,,,217,,,,93.1n4,179.6n10,14717n4,16123n3,5564
AMD Radeon RX 6700S,,RDNA 2,1700,1890,14000,128,GDDR6,10240,12,4.6,7,710,~4458%,,59135,153853,26867,32662,21375,24135,8547,8316,75332,48289,,,,,,,,,,207,17573,15945,2530
NVIDIA GeForce RTX 2070 Mobile,N18E-G2 TU106,Turing,1215,1440,14000,256,GDDR6,8192,12_1,4.6,12,1792,~39.263%,444708n4,39206.5n18,123004n18,20935n21,26005n21,17762n21,20392n19,7499n18,7738n18,64151,42409.5n4,,,,,,,,,,133n18,13457n3,14446,6570
NVIDIA Quadro RTX 5000 Max-Q,N19E-Q5 MAX-Q,Turing,600 - 930,1350 - 1455,14000,256,GDDR6,16384,12_1,4.6,12,1651,~34.683%,433183n3,32096n7,64768n7,20890n9,26465n9,16600.5n10,19790n10,7282.5n10,7396n10,53221n2,40509.5n2,,1334.5n2,522n2,466.7n2,,,,236.6,94.6,210n9,6819n3,14178.5n2,4983n2
NVIDIA GeForce RTX 2080 Max-Q,N18E-G3-A1 MAX-Q TU104,Turing,735-990,1095-1230,12000,256,GDDR6,8192,12_1,4.6,12,1792,~36.863%,425550n5,34287n17,117764n17,21067n20,27973n20,17504n21,20703n19,7484n19,7923n19,51930,37613n5,,,,,,,,,,119.7n16,8197.5n4,14673,5110
AMD Radeon RX 5700M,Navi 10 / R19M-E120,Navi / RDNA,1465,1720,12000,256,GDDR6,8192,12,4.6,7,1372,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Mobile,N17E-G3,Pascal,1566,1733,10000,256,GDDR5X,8192,12_1,4.5,16,2665,~38.571%,409018n8,32845n24,126690n24,20498.5n26,28526.5n26,17223n24,21394n24,6584.5n8,6917n8,48874n2,34697.5n6,,,,,,,,225.2,95.9,122.7n13,9778.5n10,16459n8,4525n2
NVIDIA Quadro RTX 4000 (Laptop),N19E-Q3,Turing,1110,1560,14000,256,GDDR6,8192,12_1,4.6,12,1651,~32.875%,445161,38830,119052,21595n2,25370.5n2,16903n2,18849n2,7362n2,7284n2,56250,,,1213,490.4,440.5,,,,,89.9,215.5n2,6824,13576,5927
NVIDIA GeForce RTX 3060 Max-Q,GN20-E3 GA106,Ampere,,1283,,192,GDDR6,6192,12_2,4.6,8,1063,,,,,,,,,,,,,,,,,,,,,,,,,
Apple M3 Pro 14-Core GPU,,,,,,,LPDDR5-6400,,,,5,45,~19.417%,,,,,,,,,,,,,1299,818,565,,,,,,129.85,,,
Apple M2 Pro 16-Core GPU,,,,,,,LPDDR5-6400,,,,5,332,~2417%,,,,,,,,,,,,,1815,1011,659,,,,,,141.9,,,
Apple M1 Pro 16-Core GPU,,,1296,,,,LPDDR5-6400,,,,5,1118,~2017%,,,,,,,,,,,,,1561,869,544,,,,,,85.5,,,
AMD Radeon PRO W6600M,,RDNA 2,,,14000,128,GDDR6,8192,12,4.6,7,908,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce RTX 2070 Super Max-Q,N18E-G2R,Turing,930,1155,11000,256,GDDR6,8192,12_1,4.6,12,1340,~4158%,461648n2,47119n7,126747n7,23755.5n10,27724n10,18395n10,20872.5n10,7611.5n10,7373.5n10,65101,43406,,,,,,,,,,138n9,6835,14015,
NVIDIA Quadro RTX 4000 Max-Q,N19E-Q3 MAX-Q,Turing,780 - 960,1380 - 1485,14000,256,GDDR6,8192,12_1,4.6,12,1651,~28.338%,,23809,35167,19888n2,23574n2,15010,17049,6724,6764,,,,,,,,,,,,210.5n2,,,
Apple M1 Pro 14-Core GPU,,,1296,,,,LPDDR5-6400,,,,5,1118,~18.817%,,,,,,,,,,,,,1457,817,496,,,,,,91.8,,,
NVIDIA GeForce RTX 2070 Max-Q,N18E-G2 MAX-Q TU106,Turing,885-1080,1185-1305,12000,256,GDDR6,8192,12_1,4.6,12,1792,~33.563%,413114n10,36551.5n28,106564n28,18964n31,22089n31,15494n33,17335n31,6571n28,6661n28,48510,35284n6,,,,,,,,,,119.95n26,8082.5n4,12103,5235
AMD Radeon RX 6600S,,RDNA 2,,1881,16000,128,GDDR6,8192,12,4.6,7,710,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA Quadro P5200,,Pascal,1316,1569,7216,256,GDDR5,16384,12_1,4.5,16,2517,~36.358%,,43443.5n2,106328n2,21715n2,25100n2,16625.5n2,18467n2,6646.5n2,6422n2,65844,44390,,,,,,,,,,234.3n2,6833n2,15892,5183
NVIDIA Quadro RTX 3000 (Laptop),N19E-Q1,Turing,945,1380,14000,192,GDDR6,6144,12_1,4.6,12,1651,~2775%,,36407n3,91394n3,17864n4,19878.5n4,13570n3,14841.5n2,5923n3,5589n3,50309,37304,,1010,407.8,384.8,,,,,58.3,204n4,6821,8716,5769
NVIDIA GeForce RTX 2060 Mobile,N18E-G1 TU106,Turing,960,1200,14000,192,GDDR6,6144,12_1,4.6,12,1792,~33.463%,411721n12,36017.5n36,99178.5n36,18110n40,21261.5n40,14690n43,16331n43,6192n41,6141n41,57644,38509n5,,,,,,,,,,120.4n40,9210n4,12241n3,5054
NVIDIA Quadro RTX 3000 Max-Q,N19E-Q1 MAX-Q,Turing,600 - 870,1215 - 1380,14000,192,GDDR6,6144,12_1,4.6,12,1651,~24.254%,,33281.5n2,66284n2,16577n3,17523n3,12642n3,13617n3,5357n3,5048n3,,,,,,,,,,,68,202n3,6821,10064,4392
NVIDIA GeForce GTX 1080 Max-Q,N17E-G3 Max-Q,Pascal,1101 - 1290,1278 - 1468,10000,256,GDDR5X,8192,12_1,4.5,16,2378,~34.188%,387951,28375n3,114542n3,16910.5n6,23540n5,14273.5n6,18191.5n6,5591.5n2,5868.5n2,39562,31555,69346,1365,432.5n2,414,,,,197,84.8,111.15n2,9138n2,13756n2,4618
NVIDIA GeForce GTX 1070 Mobile,N17E-G2,Pascal,1443,1645,8000,256,GDDR5,8192,12_1,4.5,16,2649,~28.871%,338057n17,27920n51,101041n51,16939.5n58,22575.5n58,13797.5n56,17236.5n56,5268n21,5485n21,34389,31045n15,,,298.5,,,,,,82.5n2,112.3n37,7504n20,12369.5n10,4097n5
NVIDIA GeForce RTX 2060 Max-Q,N18E-G1 MAX-Q TU106,Turing,975,1185,11000,192,GDDR6,6144,12_1,4.6,12,1792,~27.771%,308872,30659.5n4,58890n4,18065n4,19778.5n4,13716n4,14909.5n4,5844.5n4,5638.5n4,50957,37332,,1123,497.9,411.3,,,,,,137n4,11800,,5786
NVIDIA Quadro P4200,,Pascal,1215,1480,7132,256,GDDR5,8192,12_1,4.5,16,2036,~28.94%,,,,,,12485n2,,,,,,,,,,,,,,,,,,
NVIDIA GeForce RTX 4050 Laptop GPU,GN21-X2,Ada Lovelace,,2370,16000,96,GDDR6,6144,12 Ultimate,4.6,5,334,~41.979%,552112n2,52615n21,139468n21,27315n29,30910n30,19925n28,22597.5n28,8647.5n28,8429.5n28,85660,50886n7,,2143.4,801,592,238n15,,,,,205n30,16035n3,16302,8036
NVIDIA RTX A2000 Laptop GPU,GA107,Ampere,893,1687,14000,128,GDDR6,8192,12_2,4.6,8,965,~29.758%,,40815n7,60336n7,17348n8,18058n9,12211n9,13157n9,5523n9,5016n9,63738,36019,,,,,,,,,,311n8,6839,13585,4554
Intel Arc A730M,Alchemist,Xe HPG,1100,,14000,192,GDDR6,12288,12_2,4.6,6,625,~38.571%,467230,45257n4,83396n4,24285.5n4,29144n4,18213.5n4,21294n4,8919.5n4,8813n4,63380n2,44798n2,,,,,104.6,,,,61,196.37n3,16778.5n2,14038.5n2,9344
AMD Radeon Pro 5600M,Navi 10,Navi / RDNA,,1265,,2048,HBM2,8192,12,4.6,7,1266,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon RX 5600M,Navi 10,Navi / RDNA,,1265,12000,192,GDDR6,6144,12,4.6,7,1426,~26.958%,,36805,72335,20663.5n2,24213n2,15729n2,17652.5n2,6610n3,5933.5n2,18582,38139,,,,,,,,,,122.7n2,12922,2921,1082
NVIDIA Quadro P5000,N17E-Q5,Pascal,1164,1506,6006,256,GDDR5,16384,12_1,4.5,16,2517,~26.779%,401246,28999n3,86679n3,16450n3,20096n3,12363n3,14666n3,4836n2,3882.5n2,44689,33236,,1192,448.1,377.6,,,,,74.35n2,138.4n3,6830,11544n2,4323n3
NVIDIA GeForce GTX 1660 Ti Mobile,N18E-G0,Turing,1455,1590,12000,192,GDDR6,6144,12_1,4.6,12,1685,~31.563%,419800n6,35118.5n18,97517n18,17351n23,20118.5n24,13140n23,14818n24,5697n21,5659n22,49309,38153.5n4,,,,,,,,,,120.55n18,8212n5,10148,4827
NVIDIA GeForce RTX 3050 Ti Laptop GPU,GN20-P1,Ampere,1222,1485,12000,128,GDDR6,4096,12_2,4.6,8,937,~28.263%,422757n3,39980n23,72925n23,16439n27,18057n27,11894n27,13359.5n26,5341n26,5170n27,,45370,,1053,454,336,,,,,,166n27,13438.5n2,,
NVIDIA GeForce RTX 3050 6GB Laptop GPU,GN20-P0-R 6GB,Ampere,1237,1492,12000,96,GDDR6,6144,12_2,4.6,8,343,~20.533%,,,,17223,18059,11330,12618,5182,4820,,,,,,,104.6,,,,,117.6,,,
Intel Arc A570M,Alchemist,Xe HPG,900,1300,14000,128,GDDR6,8192,12_2,4.6,6,137,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA RTX A1000 Laptop GPU,GA107,Ampere,,,14000,128,GDDR6,4096,12_2,4.6,8,625,~25.538%,,40266,70880,15198,14402,10123,10914,4558,4101,,,,,,,,,,,,294,,,
NVIDIA GeForce GTX 1070 Max-Q,N17E-G2 Max-Q,Pascal,1101 - 1215,1265 - 1379,8000,256,GDDR5,8192,12_1,4.5,16,2378,~28.367%,334256n7,28582.5n16,99551.5n16,15409n20,18688n18,12598.5n16,14678.5n16,4616n5,4708n5,44090,30648.5n4,,,459,,,,,,,102.1n11,10777n8,10917n5,4937.5n2
Intel Arc A550M,Alchemist,Xe HPG,900,2005,14000,128,GDDR6,8192,12_2,4.6,6,625,~27.717%,,,,,,12900,14350,6320,5830,,,,,,,,,,,,,,,
NVIDIA Quadro P5000 Max-Q,N17E-Q5 Max-Q,Pascal,1101,1366,6006,256,GDDR5,16384,12_1,4.5,16,2517,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce RTX 3050 4GB Laptop GPU,GN20-P0,Ampere,1238,1500,12000,128,GDDR6,4096,12_2,4.6,8,948,~27.567%,480364n2,34692n17,65911n17,15134n21,15712n21,10953n19,12125n19,4877n19,4500n20,43216,39512n2,,,,,147,,,,,140.8n18,11506,10499,4713
Intel Arc A530M,Alchemist,Xe HPG,900,1300,14000,128,GDDR6,8192,12_2,4.6,6,138,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 1660 Ti Max-Q,N18E-G0,Turing,1140,1335,12000,192,GDDR6,6144,12_1,4.6,12,1685,~23.175%,306910n3,33027n7,63086n7,15913n7,17439n8,11615n7,13355n7,5072n7,5084.5n8,31845,25211n4,,943,360.6,345.8,,,,,,96.9n7,8562.5n4,10027,4254
NVIDIA RTX A500 Laptop GPU,GA107,Ampere,,,14000,64,GDDR6,4096,12_2,4.6,8,625,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon RX 6550M,,RDNA 2,2000,2560,18000,64,GDDR6,4096,12_2,4.6,6,344,~22.433%,,,,19932,20506,12994,14696,4955,4546,,,,,,,104.6,,,,,134.8,,,
AMD Radeon RX 6500M,,RDNA 2,,2191,18000,64,GDDR6,4096,12_2,4.6,6,711,~31.758%,,92553,92553,17548,16290,12287,13980,4795,4434,51599,35958,,,,,,,,,,181,13701,8384,1717
AMD Radeon RX 6550S,,RDNA 2,,2170,16000,64,GDDR6,4096,12_2,4.6,6,344,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 980 (Laptop),N16E-GXX,Maxwell,1126,1228,3500,256,GDDR5,4096,12_1,4.5,28,3359,~26.658%,347481n3,27629n7,76705n7,14925n8,17200.5n8,11096n8,13047n8,,,39702n2,32943n3,,,384.9n2,,,,,,,117.25n6,8278.5n6,9468n5,3098n5
NVIDIA Quadro M5500,,Maxwell,1139,1140,6606,256,GDDR5,8192,12_1,4.5,28,2799,~17.48%,,,,14413,,,,,,,,,,,,,,,,,106.7,,,
NVIDIA Quadro P4000,N17E-Q3,Pascal,1202,1228,6006,256,GDDR5,16384,12_1,4.5,16,2517,~21.475%,369407,18726,53834,12346,15433,10158,12259,3825,3960,36260,29155,,1114,408.4,318,,,,,,107.2,6831,8609,3564
NVIDIA Quadro T2000 (Laptop),N19P-Q3,Turing,1575,1785,8000,128,GDDR5,4096,12_1,4.6,12,1651,~18.913%,,,,13271n2,13523.5n2,,,,,,,,,,,,,,,,203,,,
NVIDIA GeForce GTX 1060 Mobile,N17E-G1,Pascal,1404,1670,8000,192,GDDR5,6144,12_1,4.5,16,2663,~23.467%,298378n28,24326.5n68,74604.5n68,12449n78,14693n77,9739n77,11558n77,3618n20,3580.5n20,34127n2,26152n10,,,,,,,,,81.7,102.1n51,6838n30,8538.5n20,3426.5n2
NVIDIA GeForce GTX 1650 Ti Mobile,N18P-G62,Turing,1350,1485,12000,128,GDDR6,4096,12_1,4.6,12,1340,~27.563%,410191n3,28177n7,65163n7,13072.5n8,13266n8,9222n9,9930n9,3851n9,3618n9,43517,39720,,,,,,,,,,126.65n8,6831.5n2,7120,10574
Intel Arc A370M,Alchemist,Xe HPG,1550,,14000,64,GDDR6,4096,12_2,4.6,6,625,~18.538%,,28128n3,35604n3,12520.5n4,12089.5n4,7717n3,8149n3,4255n3,3885n3,,,,,,,,,,,,129.1n3,,,
AMD Radeon RX 5500M,Navi 14 / R19M-E85,Navi / RDNA,1327,1645,14000,128,GDDR6,4096,12,4.6,7,1526,~21.858%,210925n2,28923.5n4,50946n5,13344n7,16476n8,10568n6,12276n6,4174n5,4298n5,,25762.5n2,,,,,,,,,,103n5,8386,9581,3411n2
AMD Radeon Pro 5500M,Navi 14,Navi / RDNA,,1300,12000,128,GDDR6,8192,12,4.6,7,1481,~2746%,364184,30690,65776,14097,14725,9196,10399,3629,3364,,34321,,,,,,,,,,169.3n2,,,
NVIDIA Quadro P4000 Max-Q,N17E-Q3 Max-Q,Pascal,1113,1240,6006,256,GDDR5,16384,12_1,4.5,16,2517,~24.850%,297918,25528,74933,13482,15837,10473,12312,,,,28211,,,,,,,,,,105,12498,8605,4369
NVIDIA Quadro P3200,N18E-Q1,Pascal,708 - 1202,1228,7008,192,GDDR5,6084,12_1,4.5,16,2470,~27.567%,419543,34178n5,82506.5n4,15085.5n4,16619n4,11058n5,12554.5n4,4508.5n4,4356n3,45999n2,29206.5n2,,,,,,,,,59.9n3,172n5,6819n3,8791n3,4192n5
