Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
AMD Ryzen 5 5600H,Cezanne-H (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",3MB + 16MB,,45,3300 ‑ 4200,6/12,7,x86,,1072,Vega 7,~35.6,12008,5832,35017.5,2.62,19.2,223,1573,534,3721,1369,9631.5,7.94,406.61,6.58,201.1,7497,251.21,95.18,12.4,7.35,1.2,0.83,319,582,5369,44613,,,,5813,27790,1373,6483,1428,6567,1610,7910,,,67221,204.2,190.3,267,202
AMD Ryzen 7 5800U,Cezanne-U (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",4MB + 16MB,,25,1900 ‑ 4400,8/16,7,x86,,1072,Vega 8,~34.2,,6039,26711,2.7,14.78,229,1613,555,3303,1427,8154,9.83,514,4.11,136.5,,230.5,80.8,10.3,,,,351.85,,5362.5,42603.5,,,,5878,28418,1411,7053,1428.5,6722.5,,,,,64961,178.6,184.25,249,
AMD Ryzen 7 PRO 5850U,Cezanne-U PRO (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",4MB + 16MB,,15,1900 ‑ 4400,8/16,7,x86,,1072,Vega 8,~30.5,11656,5817,27430,2.67,16.63,227,1467,548,3417,1405,8716,10,529,8.12,258.7,6290,217.6,83.4,11.3,4.2,1,0.75,345,,5231,44266,,,,5810,25894.5,1220,5477,1436,6889,,,,,,,,260,
AMD Ryzen 7 4800H,Renoir-H (Zen 2),Renoir (Ryzen 4000 APU),4MB + 8MB,,45,2900 ‑ 4200,8/16,7,x86,,1438,Vega 7,~30.6,12683,5684,37276,2.18,21.1,188,1854,485,4339.5,1253.5,11135.5,9.81,564,3.38,90.9,4601,215.6,102.7,12.8,10.3,1.9,1.1,262,,4686,50075,,,,4949.5,26453,1184,7108,1191,7955,,,,,43309,136.8,129,218.5,
Intel Core i7-10875H,Comet Lake-H,Comet Lake,2MB + 16MB,,45,2300 ‑ 5100,8/16,14,x86,,1352,UHD Graphics 630,~34.3,12944.5,7803,44805,2.4,18.69,202,1594.5,483.5,3391.5,1241.5,8889.5,7.7,431.7,,,7473,242.4,103,12.1,10.3,1.8,1.1,322.5,,5319,44947,,,,5803,31346,1264,7370,1300,7799,,,,,,147.1,,239,
Intel Core i9-9980HK,Coffee Lake-H,Coffee Lake,2MB + 16MB,,45,2400 ‑ 5000,8/16,14,x86,,1690,UHD Graphics 630,~34.3,13208,7969.5,44455,2.28,17.2,201,1624,478.5,3475,,,7.75,432.25,4.36,115.3,7351,238.1,93.8,11.4,10.2,1.7,1,348.4,,5389.5,41688,,4871,31724,5969,29385,1282,7403.5,1346,7568,,,,,42219.5,158.3,107.3,233,
Intel Core i7-10870H,Comet Lake-H,Comet Lake,2MB + 16MB,,45,2200 ‑ 5000,8/16,14,x86,,1191,UHD Graphics 630,~37.2,,,,,,200,1659,473.5,3632,1226,9892.5,,,,,,,,12.45,,,,292,,5295.5,44975.5,,,,5652,30578,1276,7700,1282.5,7735.5,,,,,54493.5,156.8,132,225,
Intel Core i7-9700K,Coffee Lake-R,Coffee Lake,2MB + 12MB,,95,3600 ‑ 4900,8/8,14,x86,,1894,UHD Graphics 630,~34.3,12928,7653,42777.5,2.37,15.83,205.5,1449,475,3250,,,7.74,421.1,4.49,120.5,7396,270,94.8,13,8.1,1.3,0.77,307,,,,,4825,27774,5984,29225.5,,,1300,7440,,,,,41962,,,,
Intel Core i5-13420H,Raptor Lake-H,Raptor Lake-H,8MB + 12MB,,45,1500 ‑ 4600,8/12,10,x86,,345,UHD Graphics Xe G4 48EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-12450HX,Alder Lake-HX,Alder Lake-S,8MB + 12MB,,55,1800 ‑ 4400,8/12,10,x86,,584,UHD Graphics Xe 16EUs (Tiger Lake-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
