Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
AMD Ryzen Threadripper PRO 7995WX,Storm Peak,Threadripper,96MB + 384MB,,350,2500 ‑ 5100,96/192,5,x86,,22,,~70.2,21375,7951,72072,3.4,76.86,286,15842,695,41011,1815,107681,6.98,349.43,7.93,17.19,63037,354.5,267.5,56.9,38.4,5.3,3.3,29,38,7108,174189,,,,4762,19324,1017,3879,1918,55811,2702,25365,,,,,,349,263
AMD Ryzen Threadripper PRO 3995WX,Matisse,Threadripper,32MB + 256MB,,280,2700 ‑ 4200,64/128,7,x86,,1244,,~52.4,16656,5596,52743,2.12,54.3,195,9706,488,23571,1249,61102,9.81,730,6.11,25.41,6689,264,192.5,46.6,26,4.8,2.9,47.8,,5021,140172,,,,5567,80545,1266,31711,1720,14881,,,,,,,,229,
Intel Core i9-14900K,Raptor Lake,Raptor Lake-R,32MB + 36MB,,125,3200 ‑ 6000,24/32,10,x86,,24,UHD Graphics 770,~68.6,20802,12643,94801,4.02,72.24,332,6282,900,15466,2351,41193,5.48,280.25,2.07,74.47,16108,345.5,181.2,42,26.7,5.8,2.8,82.5,139.5,7772,149570,,,,9869.5,88609,2271.5,24957,2306.5,25285,3254.5,21537.5,,,,,,386,332
AMD Ryzen 9 7950X,Raphael (Zen 4),"Raphael (Zen 4, Ryzen 7000)",16MB + 64MB,,170,4500 ‑ 5700,16/32,0,x86,,410,Radeon Graphics (Ryzen 7000),~65.9,21065,8508,72480,3.7,68.61,316,6095,778,14538,2001,37353,6.35,312.55,1.67,30.81,15779,383,274,43.55,32.5,4.5,2.8,86,134,8167,157469,,,,8864,85341,2131,23887,2227,23903,2975,19813,,,,,,377,303
Intel Core i9-13900K,Raptor Lake,Raptor Lake-S,32MB + 36MB,,125,3000 ‑ 5800,24/32,10,x86,,386,UHD Graphics 770,~65.9,20191.5,12017.5,87738,3.87,67.5,324,5959,849.5,14620.5,2238.5,38271.5,5.7,293.25,2.05,84.2,14271,419.25,264.75,40.7,22.9,5.4,2.9,84,139,7272,146984,,,,9598,85336,2197,23664,2286,24033,,,,,,,,368,316
AMD Ryzen 9 7950X3D,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",16MB + 128MB,64K (per core),120,4200 ‑ 5700,16/32,5,x86,,310,Radeon Graphics (Ryzen 7000),~67.5,20279,16551,138015,3.86,64.59,326,5974,795,14188,2053,36291,6.11,305.11,2.01,33.88,15779,392.5,265.5,42.4,26.9,4.2,2.8,86,133,8321,159341,,,,9240,87922,2183,23720,2311,24343,,,,,,,,383,313
Intel Core i7-14700K,Raptor Lake,Raptor Lake-R,28MB + 33MB,,125,2500 ‑ 5600,20/28,10,x86,,54,UHD Graphics 770,~64.6,20665,12027,91081,3.7,61.44,314,5459,832,13672,2153,35892,5.98,305.94,2.15,109.8,12800,419,261,36.8,25.6,4.6,2.6,91,155,7351,135648,,,,9304,79501,2045,22756,2121,23159,2902,19790,,,,,,339,314
AMD Ryzen 9 7900X,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",12MB + 64MB,,170,4700 ‑ 5600,12/24,5,x86,,440,Radeon Graphics (Ryzen 7000),~58.7,21284,8623,68579.5,3.83,54.66,323,4820.5,782.5,11471.5,2016.5,29300,6.14,313.44,1.8,40.31,17225,376,241,36.85,14.8,2.8,1.5,106,166,8269,127195,,,,9275,77033,2196,20658,2294,20667.5,,,,,,,,383,304.5
Intel Core i7-13700K,Raptor Lake,Raptor Lake-S,24MB + 30MB,,125,3400 ‑ 5400,16/24,10,x86,,439,UHD Graphics 770,~60,18153,11278,85748,3.66,52.98,303,4507.5,811.5,11713.5,2116,30745,6.19,317.81,2.31,170.22,12835,406,232,33.85,15.8,4,2.2,108,176.5,7061.5,111390,,,,8955,69210,2064,19217,2110,20190.5,2962,19249,,,,,,348,301
AMD Ryzen 9 7945HX3D,Dragon Range-HX (Zen 4),"Dragon Range (Zen 4, Ryzen 7045)",16MB + 128MB,,55,2300 ‑ 5400,16/32,5,x86,,135,Radeon 610M,~64.2,,8478,70414,3.7,61.9,311,5600,755,13033,1935,32782,6.4,337.8,5.9,249.9,51122,,,36.4,23.4,3.8,2.5,95,150,7573,136201,,,,,,,,2133,19875,2916,16957,,,97066,332.3,367.9,480,328
AMD Ryzen 9 7945HX,Dragon Range-HX (Zen 4),"Dragon Range (Zen 4, Ryzen 7045)",16MB + 64MB,,55,2500 ‑ 5400,16/32,0,x86,,339,Radeon 610M,~60.8,,8481,71582,3.65,64.29,307,5541,747,13308,1936,34202,6.4,337,4.9,158.7,,,,36.15,25.3,4,2.7,93,145.5,7379,140471,,,,,,1984,19315,2103,19583,2876,16316,,,95872.5,331.6,325,351,289
AMD Ryzen Threadripper PRO 3975WX,Matisse,Threadripper,16MB + 128MB,,280,3500 ‑ 4200,32/64,7,x86,,1244,,~50.5,16923,5884,53924,2.19,52.2,201,7053,500,16464,1286,42744,9.55,714,3.63,24.28,6530,268,193,43,27,4.7,2.6,69.4,,5140,141386,,,,5764,81029,1306,29094,1285,28798,,,,,,,,198,
Intel Core i9-13980HX,Raptor Lake-HX,Raptor Lake-HX,32MB + 36MB,,55,1600 ‑ 5600,24/32,10,x86,,340,UHD Graphics 770,~60.7,19734,11940,85088,3.73,55.79,304.5,4717,807,11510,2110,30273,7.42,345.8,3.02,183.5,11438,374,198.05,31.6,18.4,4.9,2.5,106,190,6972,119244,,,,,,1987,22107,2099,20329,2881.5,17564,,,102620,328.04,399,337,306
Intel Core i9-13950HX,Raptor Lake-HX,Raptor Lake-HX,32MB + 36MB,,55,1600 ‑ 5500,24/32,10,x86,,340,UHD Graphics 770,~62.8,19311,11424,80693,3.57,59.98,297,4529,801,10919,2096,28681,6.2,322.8,,,,,,31,,,,111,196,6754,116665,,,,,,2006,18486.5,2043,20036,2919.5,16927.5,,,103911,328.16,407,318.5,291
Intel Core i9-13900HX,Raptor Lake-HX,Raptor Lake-HX,32MB + 36MB,,55,1600 ‑ 5400,24/32,10,x86,,340,UHD Graphics Xe 32EUs (Tiger Lake-H),~59.7,18036.5,11699.5,79299.5,3.66,52.32,295,4487,785.5,10548,2055,27844,6.21,315.13,2.6,215.69,12916,387.7,217.7,29.4,17,4.25,2.25,114,202,6892.5,114430,,,,8843,71143,1982,19027,2036,19982,2720,16522.5,,,104390,305.03,356.5,322,291
AMD Ryzen 9 7900,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",12MB + 64MB,,65,3700 ‑ 5400,12/24,5,x86,,330,Radeon Graphics (Ryzen 7000),~55.7,19451,8339,60934,3.68,45.31,315,4020,762,9703,1966,24776,6.73,329.05,2.98,46.75,10154,355.5,207,31.2,21.5,3.1,2,125,199,7936,112881,,,,8861,65241,2096,17581,2203,17880,,,,,,,,366,302
Intel Core i9-12900K,Alder Lake,Alder Lake-S,14MB + 30MB,,125,3200 ‑ 5200,16/24,10,x86,,765,UHD Graphics 770,~53.1,18752.5,9859,71819,3.5,45.62,289,4057,771.5,9935,2004.5,26125,7.05,347,3.66,192.8,11834,366.75,201,29.5,19.25,3.6,1.95,124.7,,6575.5,97315.5,,,,8629,63910.5,1947.5,17828,2005.5,17776,,,,,96769,206.7,,325,
Intel Core i5-14600K,Raptor Lake,Raptor Lake-R,20MB + 24MB,,125,3500 ‑ 5300,14/20,10,x86,,54,UHD Graphics 770,~56.6,18096,11396,75358,3.58,40.96,297,3640,790,9371,2064,24491,6.23,316.69,2.39,158.77,11491,411,209,28.6,19.5,3.4,1.8,134,223,6910,93235,,,,8904,64035,2004,17374,2017,17516,2879,17409,,,,,,354,301
AMD Ryzen 9 7845HX,Dragon Range-HX (Zen 4),"Dragon Range (Zen 4, Ryzen 7045)",12MB + 64MB,,55,3000 ‑ 5200,12/24,0,x86,,344,Radeon 610M,~65.9,,,,,,295,4320,719,10492,1852,26876,,,,,,,,29.7,,,,117,185,7018,106033,,,,,,,,2008,15068,2729,12585,,,,308.27,,357,282
AMD Ryzen 7 7700X,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",8MB + 32MB,,170,4500 ‑ 5400,8/16,5,x86,,440,Radeon Graphics (Ryzen 7000),~52.1,18115,8633,56024,3.71,36.06,315,3113.5,772.5,7462.5,1987,19088,6.35,322.8,2.15,61.15,14879,373.5,181.2,25.45,17.5,2.3,1.4,163,261,8074,85706.5,,,,8991,56909,2123,14215,2218,14131,,,,,,,,355,301
AMD Ryzen 7 7700,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",8MB + 32MB,,65,3800 ‑ 5300,8/16,5,x86,,339,Radeon Graphics (Ryzen 7000),~51.1,18277,8345,53881,3.64,34.29,308,3047,750,7259,1930,18760,6.55,335.26,2.72,62.63,14860,368,174.95,25,15.9,2.3,1.5,166,266,7880,85260,,,,8753,55542,2078,13869,2161,13929,,,,,,,,352,295
AMD Ryzen 9 5950X,Vermeer (Zen 3),Vermeer (Ryzen 5000),8MB + 64MB,,105,3400 ‑ 4900,16/32,7,x86,,1158,,~49.7,17656.5,6689.5,56640.5,3.08,47.83,266.5,4324,629,10061,1614,26017,7.24,361.5,4.23,58.45,12735.5,330,212,30.85,26,3.5,2.35,117.65,,6851.5,122978,,,,7118.5,60408.5,1654,15983,1651.5,16248,,,,,,,,289.5,
Intel Core i5-13600K,Raptor Lake,Raptor Lake-S,20MB + 24MB,,125,3500 ‑ 5100,14/20,10,x86,,416,UHD Graphics 770,~53.3,17627,10754.5,68879.5,3.47,42.29,287.5,3642,770.5,9241,2000.5,24221,6.53,331.36,2.52,174.89,10967,387.5,198.8,27.55,19.1,3.15,1.7,135,224,6377.5,89587,,,,8624.5,61014,1947.5,16566,1973,16670.5,,,,,,,,331,288
Intel Core i7-13850HX,Raptor Lake-HX,Raptor Lake-HX,24MB + 30MB,,55,1500 ‑ 5300,20/28,10,x86,,345,UHD Graphics 770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 7 7800X3D,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",1KB + 96MB,,162,4200 ‑ 5000,8/16,5,x86,,253,Radeon Graphics (Ryzen 7000),~50,16892,8026,51950,3.43,33.48,281.5,2878.5,686,6804.5,1766.5,17387,7.09,337.57,2.44,62.73,16585,344,169.25,23.25,15.3,2.1,1.3,178,282.5,7823.5,80312.5,,,,9097,54840,1938,13888,1920,12715,2634,14288,,,,,,353,282
Intel Core i9-12900,Alder Lake,Alder Lake-S,14MB + 20MB,,65,2400 ‑ 5100,16/24,10,x86,,710,UHD Graphics 770,~45.9,17464,8949,68729,3.16,38.96,262,3299,703,7179,1825,18628,,,2.67,211.8,10739,310,147.5,14.4,17.2,3.4,1.9,262.7,,5979,50152,,,,6991,36310,1638,8845,1656,8924,,,,,,,,269,
Intel Core i7-13700,Raptor Lake-S,Raptor Lake-S,24MB + 30MB,,65,2100 ‑ 5200,16/24,10,x86,,345,UHD Graphics 770,~57.2,17194,10840,82724,3.5,50.37,285,3692,739.5,9194,2008.5,25369,6.39,329.23,2.5,161.46,12289,393,224,27.25,22,3.8,2.1,144.5,250.5,6642.5,91604,,,,8714,67866,1925,18964,1983.5,17563.5,2761,15882,,,,341.33,,338,289.5
Intel Core i9-12950HX,Alder Lake-HX,Alder Lake-S,14MB + 30MB,,55,1700 ‑ 5000,16/24,10,x86,,584,UHD Graphics 770,~58.4,,,,,,274,3107,727,7744,1885,20263,,,,,,,,22.5,,,,175,302,6197,77003,,,,,,1855,13908,1886,15229,,,,,94008,291.99,356,311,274
Intel Core i9-12900HX,Alder Lake-HX,Alder Lake-S,14MB + 30MB,,55,1700 ‑ 5000,16/24,10,x86,,584,UHD Graphics 770,~53.8,17668,9509,64621,3.35,41.54,278,3566,739,8842.5,1912.5,23150,7.25,379.61,7.83,245.74,9993,313.7,185.5,26,17.4,3.2,1.7,148.6,267,6336,86541,,,,8182,58845.5,1848,16487.5,1906.5,16311.5,,,,77.4,95387,292.72,327,317.5,275
Apple M3 Max 16-Core,,Apple M3,,,78,2748 ‑ 4056,16/16,3,ARM,,51,M3 Max 40-Core GPU,~70.8,,,,,,271,3264,494.5,6123.5,1959,24022,,,,,,,,,,,,216,195,,,,,,,,,,2324.5,22937.5,3126.5,21253.5,,,96362.5,310.1,561,421,
AMD Ryzen 9 3950X,Matisse (Zen 2),Matisse (Ryzen 3000 Desktop),8MB + 64MB,,105,3500 ‑ 4700,16/32,7,x86,,1487,,~41.1,,6102,53396,2.37,43.68,209,4002,520,9075,,,9.19,512,4.11,44.86,7409,265,168,15.8,10.8,3.6,2.3,125.8,,5340,99467,,,,5749,48962,1315,12976,1306,12363,,,,,,,,239,
Intel Core i7-13700HX,Raptor Lake-HX,Raptor Lake-HX,24MB + 30MB,,55,1500 ‑ 5000,16/24,10,x86,,345,UHD Graphics 770,~59.4,17038,,,,,272,3348.5,723,8062,1875,21516,,,,,,,,22.4,,,,157.5,267,6166,78076,,,,8059,57031,1788.5,15008.5,1845,14942,2593,14402,,,92283,295.42,335,309.5,270.5
Intel Core i7-12700K,Alder Lake,Alder Lake-S,12MB + 25MB,,125,2700 ‑ 5000,12/20,10,x86,,770,UHD Graphics 770,~46.7,16827,9305,63484,3.29,38.38,272,3325,735.5,7800.5,1850.5,19784,7.35,387,2.66,171.2,10389,349.5,179,20.5,15.7,2.8,1.6,173.1,,6269.5,73438.5,,,,8133,55786,1840.5,13879,1911.5,14016,,,,,,241.28,,303.5,
Intel Core i9-13900HK,Raptor Lake-H,Raptor Lake-H,11.5MB + 24MB,,45,1900 ‑ 5400,14/20,10,x86,,345,Iris Xe G7 96EUs,~54.6,,,,,,279,2950,749,7542,1960,19704,,,,,,,,21.9,,,,,287,5864,77190,,,,,,1865,14628,1942,14985,,,,,,314.97,,297,279
Intel Core Ultra 9 185H,Meteor Lake-H,Intel Meteor Lake-H,+ 24MB,,45,3800 ‑ 5100,16/22,7,x86,,6,Arc 8-Cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i9-13905H,Raptor Lake-H,Raptor Lake-H,11.5MB + 24MB,,45,1900 ‑ 5400,14/20,10,x86,,345,Iris Xe G7 96EUs,~55.5,,,,,,246,2857,639,7152,2020,20034,,,,,,,,21.2,,,,173,302,5520,69892,,,,,,1898,14690,1685,13707,2404,14212,,,,310.21,,301.5,265.5
Intel Core i9-13900H,Raptor Lake-H,Raptor Lake-H,11.5MB + 24MB,,45,1900 ‑ 5400,14/20,10,x86,,345,Iris Xe G7 96EUs,~59.1,15361.5,,,,,280,2739,763,6958,1973.5,17856.5,,,,,,,,19.25,,,,193,329,6260.5,70425,,,,8409,50450,1802.5,13197.5,1967,13216,2645,12611,,,100022,310.6,348,319,285
Apple M3 Max 14-Core,,Apple M3,,,78,2748 ‑ 4056,14/14,3,ARM,,51,M3 Max 30-Core GPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core Ultra 7 165H,Meteor Lake-H,Intel Meteor Lake-H,+ 24MB,,28,3800 ‑ 5000,16/22,7,x86,,6,Arc 8-Cores,~57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853,11733,2513,13288,,,,,,,
Intel Core i7-13800H,Raptor Lake-H,Raptor Lake-H,11.5MB + 24MB,,45,1800 ‑ 5200,14/20,10,x86,,345,Iris Xe G7 96EUs,~61.5,,,,,,287,2765,776,6714,2017,17591,,,,,,,,20,,,,191,337,6310,70500,,,,,,,,1972,12880,2766,12876,,,,,,314,283
AMD Ryzen 9 5900X,Vermeer (Zen3),Vermeer (Ryzen 5000),6MB + 64MB,,105,3700 ‑ 4800,12/24,7,x86,,1163,,~47.5,16438,6828,52076,3.14,41.78,250,2695,598,6233,1527,16262,7.19,360.5,,,13361,335,191,24.9,21.2,2.9,1.8,154.2,,6582,90443,,,,7034,52798.5,1588,12813,1604,11765,,,,,,218.1,,279,
Intel Core i9-10980XE,Cascade Lake,Core i9 (Desktop),18MB + 24.8MB,,165,3000 ‑ 4600,18/36,14,x86,,1535,,~46.7,14129,7847,59479,2.36,38.39,208,3744,489.5,8532.5,,,7.68,410,2.81,47.4,7172,215,157.5,27,18.2,3.2,1.9,130,,5370.5,93076.5,38219,4578,56351,5794.5,54222.5,1239.5,15743.5,1260,16480,,,,97.5,39564,,77.3,239,
Intel Core i9-9980XE,Sky Lake-X,Core i9 (Desktop),18MB + 24.8MB,,165,3000 ‑ 4400,18/36,14,x86,,1811,,~40.2,13495,7323,58001,2.22,38.57,197.5,3735.5,461.5,8857,,,8.23,433,2.74,46.52,6879,206.5,156,26.05,18.1,3.2,1.9,136.5,,5110,93017.5,,,,5492.5,55149.5,1217.5,16331,1200,15780,,,,,,,,,
Intel Core i7-12850HX,Alder Lake-HX,Alder Lake-S,14MB + 25MB,,55,1500 ‑ 4800,16/24,10,x86,,584,UHD Graphics 770,~51.6,,,,,,260.5,2679,697.5,6490.5,1720.5,16301.5,,,,,,,,17.25,,,,193,317,5762,61678.5,,,,,,1718,11363,1782,12302,,,,,,261.94,,284.5,232
Intel Core i7-12800HX,Alder Lake-HX,Alder Lake-S,14MB + 25MB,,55,1500 ‑ 4800,16/24,10,x86,,584,UHD Graphics 770,~51.4,,,,,,260,3383,676,8564,1812,22456,,,,,,,,24.9,,,,153.1,,5624,76947,,,,,,1726,14093,1759,14213,,,,,,277.91,,309,
Intel Core Ultra 7 155H,Meteor Lake-H,Intel Meteor Lake-H,+ 24MB,,28,3800 ‑ 4800,16/22,7,x86,,6,Arc 8-Cores,~46.6,,9919,56242,3.07,29.98,257,2362,673.5,5455,1779,15013,7.05,400.29,,,7084,282.57,128.04,16.5,10.2,1.7,0.94,219.5,385.5,5223.5,62093.5,,,,6838,43897,1684,11684,1776.5,12014.5,2425,12504,,,,,,293,263
Intel Core i9-12900HK,Alder Lake-H,Alder Lake-P,11.5MB + 24MB,,45,1800 ‑ 5000,14/20,10,x86,,710,Iris Xe G7 96EUs,~46.9,16756,8561,53020,2.99,28.22,257,2845,664,7104.5,1789,18621.5,7.87,409.92,3.38,201.06,8480,288.2,136.65,20.55,15.2,2.45,1.4,178.4,,5622.5,72874,,,,7970,50701,1853.5,13647.5,1870,13717,,,,107.05,94352,267.75,274,299,249
Intel Core i9-12900H,Alder Lake-H,Alder Lake-P,11.5MB + 24MB,,45,1800 ‑ 5000,14/20,10,x86,,710,Iris Xe G7 96EUs,~44.1,12799,8235,47831,2.96,25.96,265,2586,715,6060,1863,15987,7.78,409.19,4.1,196.5,7897,254.75,111.4,18.7,9.7,1.7,1,201,375.5,5881,64918,,,,7199,35978.5,1673,10985,1830.5,12321.5,2265,10442,,,86645,263,241,297.5,264
Intel Core i7-13705H,Raptor Lake-H,Raptor Lake-H,11.5MB + 24MB,,45,1800 ‑ 5000,14/20,10,x86,,345,Iris Xe G7 96EUs,~51.7,,10476,61674,3.21,31.6,273.5,2868.5,727.5,7198.5,1874,18765,6.9,680.2,26.3,1258.7,,,,20.1,12.7,2.7,1.5,181,322,5999.5,75165,,,,,,,,1841,14322.5,2588,14502,,,91471,287.85,314.5,303.5,267.5
Intel Core i7-13700H,Raptor Lake-H,Raptor Lake-H,11.5MB + 24MB,,45,1800 ‑ 5000,14/20,10,x86,,345,Iris Xe G7 96EUs,~49.8,15415,10487,65623,3.28,33.82,268,2515,717,6051,1854,15609,6.8,371.9,2.94,208.8,7559,340.5,167.5,16.9,16.1,2.9,1.5,217,386,6014,61921,,,,8083,50819,1815,13200,1829,12567,2610,12989,,,92979,292.9,332,299,267.5
Intel Core i5-13400F,Raptor Lake-S,Raptor Lake-S,9.5MB + 20MB,,65,2500 ‑ 4600,10/16,10,x86,,345,,~43.5,13989,8689,51113,3.06,27.46,252,2364,672,6091,1744,15911,8.03,420.48,3.27,367.88,8602,314.5,136.85,19.2,12.2,2,1.1,206,336,5743,60048,,,,7684,43856,1721,12009,1792,12095,,,,,,,,294,254
Intel Core i5-13400,Raptor Lake-S,Raptor Lake-S,9.5MB + 20MB,,65,2500 ‑ 4600,10/16,10,x86,,345,UHD Graphics 730,~43.7,13632,8721,51095,3.1,27.36,257,2358,688,6135,1786,15953,8.03,427.16,3.47,452.31,7979,311,135.8,19.1,11.8,2,1.2,206,336,5829,59510,,,,7683,42509,1706,11801,1795,12107,,,,,,,,306,251
Intel Core i7-12700F,Alder Lake,Alder Lake-S,12MB + 25MB,,65,3300 ‑ 4900,12/20,10,x86,,710,,~43.9,15823,9146,56067,3.28,33.5,271,2610,726,5786,1898,15291,7.39,386.35,2.95,128.31,8695,296.5,118.55,17.7,3.3,2.8,1.5,212,,6145,61218,,,,6698,39852,1557,10249,1590,10126,,,,,94804,295.07,,281,271
Intel Core i7-12700,Alder Lake,Alder Lake-S,12MB + 25MB,,65,3300 ‑ 4900,12/20,10,x86,,710,UHD Graphics 770,~49,15390,9171,60892,3.28,36.92,272,3151,731,8338,1894,21751,7.53,400.41,2.9,272.82,9328,347,172.35,25.5,14.5,2.7,1.5,151,242,6292,78331,,,,8059,52676,1845,14883,1924,14961,,,,,,,,314,268
Intel Core i5-12600K,Alder Lake,Alder Lake-S,9.5MB + 20MB,,125,2800 ‑ 4900,10/16,10,x86,,770,UHD Graphics 770,~44,15722,9381,55462,3.31,30.01,275,2555,734,6692,1907,17491,7.41,363.2,4.73,202.7,6239,333.5,148,30.1,12.8,2.2,1.3,189.5,,5944,64260,,,,8223,46557,1821,12746,1904,12797,,,,,,,,293,
AMD Ryzen 5 7600X,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",6MB + 32MB,,105,4700 ‑ 5300,6/12,5,x86,,445,Radeon Graphics (Ryzen 7000),~49,17290.5,8480,49430,3.71,28.32,314,2517,761,5966,1965,15236,7.42,367.07,2.76,78.81,16178,367,147.8,21,13.2,1.8,1.1,205,328,8058,69291,,,,9021,47694,2126,11982,2217,12003,,,,,,,,370.5,298
AMD Ryzen 5 7600,Raphael (Zen4),"Raphael (Zen 4, Ryzen 7000)",6MB + 32MB,,65,3800 ‑ 5100,6/12,5,x86,,335,Radeon Graphics (Ryzen 7000),~45.1,15993,8122,46166,3.51,26.4,298,2339,724,5487,1852,12735,6.82,351.04,3.06,83.81,14038,347,137.8,19.5,12.5,1.6,1.1,219,352,7566,64613,,,,8453,44221,2005,10745,2088,11095,,,,,,,,345,
Intel Core Ultra 5 135H,Meteor Lake-H,Intel Meteor Lake-H,+ 18MB,,28,3600 ‑ 4600,14/18,7,x86,,6,Arc 7-Cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 9 8945HS,Hawk Point-HS (Zen 4),"Hawk Point (Zen 4/4c, Ryzen 8040)",8MB + 16MB,,45,4000 ‑ 5200,8/16,4,x86,,9,Radeon 780M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 9 7940HS,Phoenix-HS (Zen 4),"Phoenix (Zen 4, Ryzen 7040)",8MB + 16MB,,35,4000 ‑ 5200,8/16,4,x86,,344,Radeon 780M,~48.4,15715.5,7963,49845,3.46,30.88,285,2664.85,702.5,6659,1792,17124,7.06,532.8,2.7,66.8,7439,304.5,150.8,20.8,14.8,2.1,1.4,188,303,6652,70050,,,,7657,46087.5,1898,11382,1981,11564,2591,12011,,,89067,298.74,302,315,262
AMD Ryzen 9 PRO 7940HS,Phoenix-HS (Zen 4),"Phoenix (Zen 4, Ryzen 7040)",8MB + 16MB,,35,4000 ‑ 5200,8/16,4,x86,,185,Radeon 780M,~56.6,,,,,,263.5,2539,653,6195.5,1681,15928.5,,,,,,,,18.7,,,,203,325,6029.5,64558,,,,,,,,1857,10967.5,2472,11561.5,,,77466,262.2,263,297,242
AMD Ryzen 7 7745HX,Dragon Range (Zen 4),"Dragon Range (Zen 4, Ryzen 7045)",8MB + 32MB,,55,3600 ‑ 5100,8/16,0,x86,,344,Radeon 610M,~58,,,,,,294,2978,717,7072,1846,18060,,,,,,,,23.2,,,,174,277,7244,75557,,,,,,1971,12179,2040,12378,,,,,,326.92,,345,283
AMD Ryzen 7 8845HS,Hawk Point-HS (Zen 4),"Hawk Point (Zen 4/4c, Ryzen 8040)",8MB + 16MB,,45,3800 ‑ 5100,8/16,4,x86,,9,Radeon 780M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core Ultra 5 125H,Meteor Lake-H,Intel Meteor Lake-H,+ 18MB,,28,3600 ‑ 4500,14/18,7,x86,,6,Arc 7-Cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i7-13650HX,Raptor Lake-HX,Raptor Lake-HX,+ 24MB,,55,1900 ‑ 4900,14/20,10,x86,,345,UHD Graphics Xe 16EUs (Tiger Lake-H),~54,16051,10616,68755,3.31,37.44,274,3141.5,719.5,8010,1868.5,20999,6.7,370.4,,,8422,345.8,175.1,23.15,16.7,2.9,1.6,161.5,280.5,5981.5,78884.5,,,,7895,52742,,,1845,14196,,,,,,,,312,277
AMD Ryzen 7 8840HS,Hawk Point-HS (Zen 4),"Hawk Point (Zen 4/4c, Ryzen 8040)",8MB + 16MB,,28,3300 ‑ 5100,8/16,4,x86,,9,Radeon 780M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 7 7840HS,Phoenix-HS (Zen 4),"Phoenix (Zen 4, Ryzen 7040)",8MB + 16MB,,35,3800 ‑ 5100,8/16,4,x86,,344,Radeon 780M,~48.5,15667,7709,50264,3.33,30.25,279,2608,690,6509,1779,16706,8.77,724.41,2.63,72.82,7699,298,149.3,20.4,14.9,2.1,1.3,192,310,6640,70243,,,,8148,48814,1910.5,11662,1960,11803,2671.5,13100,,,91466.5,303.71,298.5,322,263
AMD Ryzen 7 7840S,Phoenix-HS (Zen 4),"Phoenix (Zen 4, Ryzen 7040)",8MB + 16MB,,35,3800 ‑ 5100,8/16,4,x86,,344,Radeon 780M,~47.2,14547,7579,45931,3.33,28.61,274,2222.84,685,5912,1761,15102,7.4,653.4,10.2,341.9,20369,,,18.6,12.9,1.9,1.2,213,347,6328,64696,,,,,,,,1939,11288,2605,12598,,,91068,316.3,280.6,296,247.5
