id,name,passmark
56,AMD Athlon 5200 Dual-Core,869
2195,AMD Athlon 5350 APU,1777
2763,AMD Athlon 5370 APU,1867
2096,AMD Athlon 64 2000+,154
2097,AMD Athlon 64 2600+,243
65,AMD Athlon 64 2800+,295
66,AMD Athlon 64 3000+,334
2481,AMD Athlon 64 3100+,484
67,AMD Athlon 64 3200+,305
68,AMD Athlon 64 3300+,375
69,AMD Athlon 64 3400+,317
70,AMD Athlon 64 3500+,396
71,AMD Athlon 64 3700+,394
72,AMD Athlon 64 3800+,292
73,AMD Athlon 64 4000+,340
59,AMD Athlon 64 FX-55,404
60,AMD Athlon 64 FX-57,517
1902,AMD Athlon 64 FX-59,465
61,AMD Athlon 64 FX-60 Dual Core,709
62,AMD Athlon 64 FX-62 Dual Core,993
64,AMD Athlon 64 FX-74,972
1511,AMD Athlon 64 X2 3800+,566
75,AMD Athlon 64 X2 Dual Core 3400+,531
76,AMD Athlon 64 X2 Dual Core 3600+,610
77,AMD Athlon 64 X2 Dual Core 3800+,636
78,AMD Athlon 64 X2 Dual Core 4000+,662
79,AMD Athlon 64 X2 Dual Core 4200+,689
80,AMD Athlon 64 X2 Dual Core 4400+,678
81,AMD Athlon 64 X2 Dual Core 4600+,720
82,AMD Athlon 64 X2 Dual Core 4800+,679
83,AMD Athlon 64 X2 Dual Core 5000+,775
84,AMD Athlon 64 X2 Dual Core 5200+,839
85,AMD Athlon 64 X2 Dual Core 5400+,907
86,AMD Athlon 64 X2 Dual Core 5600+,912
87,AMD Athlon 64 X2 Dual Core 5800+,797
88,AMD Athlon 64 X2 Dual Core 6000+,940
89,AMD Athlon 64 X2 Dual Core 6400+,998
90,AMD Athlon 64 X2 Dual Core BE-2300,594
91,AMD Athlon 64 X2 Dual Core BE-2350,573
93,AMD Athlon 64 X2 Dual-Core TK-42,577
94,AMD Athlon 64 X2 Dual-Core TK-53,558
95,AMD Athlon 64 X2 Dual-Core TK-55,518
96,AMD Athlon 64 X2 Dual-Core TK-57,620
43,AMD Athlon 64 X2 QL-60,547
44,AMD Athlon 64 X2 QL-62,525
45,AMD Athlon 64 X2 QL-64,617
46,AMD Athlon 64 X2 QL-65,622
240,AMD Athlon 64 X2 QL-66,641
210,AMD Athlon 64 X2 QL-67,582
98,AMD Athlon 7450 Dual-Core,789
99,AMD Athlon 7550 Dual-Core,900
100,AMD Athlon 7750 Dual-Core,968
101,AMD Athlon 7850 Dual-Core,1058
102,AMD Athlon Dual Core 4050e,674
103,AMD Athlon Dual Core 4450B,719
104,AMD Athlon Dual Core 4450e,705
105,AMD Athlon Dual Core 4850B,727
106,AMD Athlon Dual Core 4850e,783
107,AMD Athlon Dual Core 5000B,856
108,AMD Athlon Dual Core 5050e,809
109,AMD Athlon Dual Core 5200B,823
110,AMD Athlon Dual Core 5400B,914
111,AMD Athlon Dual Core 5600B,737
4924,AMD Athlon Gold 3150C,3292
4704,AMD Athlon Gold 3150G,7112
3777,AMD Athlon Gold 3150U,4015
5316,AMD Athlon Gold 7220U,4748
3800,AMD Athlon Gold PRO 3150G,7702
3803,AMD Athlon Gold PRO 3150GE,7006
4969,AMD Athlon Gold PRO 4150GE,8259
112,AMD Athlon II 160u,358
113,AMD Athlon II 170u,340
114,AMD Athlon II Dual-Core M300,670
115,AMD Athlon II Dual-Core M320,726
116,AMD Athlon II Dual-Core M340,807
117,AMD Athlon II N330 Dual-Core,665
118,AMD Athlon II N350 Dual-Core,767
119,AMD Athlon II N370 Dual-Core,899
120,AMD Athlon II Neo K125,302
121,AMD Athlon II Neo K145,298
122,AMD Athlon II Neo K325 Dual-Core,417
123,AMD Athlon II Neo K345 Dual-Core,527
124,AMD Athlon II Neo N36L Dual-Core,487
125,AMD Athlon II P320 Dual-Core,694
126,AMD Athlon II P340 Dual-Core,691
127,AMD Athlon II P360 Dual-Core,734
1450,AMD Athlon II X2 210e,1105
128,AMD Athlon II X2 215,957
129,AMD Athlon II X2 220,1016
131,AMD Athlon II X2 235e,1095
132,AMD Athlon II X2 240,1032
133,AMD Athlon II X2 240e,1002
134,AMD Athlon II X2 245,1093
135,AMD Athlon II X2 245e,1171
136,AMD Athlon II X2 250,1132
137,AMD Athlon II X2 250e,1155
138,AMD Athlon II X2 250u,597
139,AMD Athlon II X2 255,1170
140,AMD Athlon II X2 260,1141
141,AMD Athlon II X2 260u,713
142,AMD Athlon II X2 265,1265
143,AMD Athlon II X2 270,1277
144,AMD Athlon II X2 270u,675
1887,AMD Athlon II X2 280,1355
145,AMD Athlon II X2 4300e,990
146,AMD Athlon II X2 4400e,978
147,AMD Athlon II X2 4450e,867
148,AMD Athlon II X2 B22,1053
149,AMD Athlon II X2 B24,1120
150,AMD Athlon II X2 B26,1193
151,AMD Athlon II X2 B28,1274
152,AMD Athlon II X3 400e,1320
153,AMD Athlon II X3 405e,1331
154,AMD Athlon II X3 415e,1441
