id,name,passmark
gpu1198,GeForce 6600,86
gpu1199,GeForce 6600 GT,137
gpu1201,GeForce 6600 LE,51
gpu1203,GeForce 6610 XL,88
gpu1204,GeForce 6700 XL,95
gpu1205,GeForce 6800,112
gpu1207,GeForce 6800 GS,188
gpu1208,GeForce 6800 GS/XT,102
gpu1210,GeForce 6800 GT,142
gpu1213,GeForce 6800 LE,109
gpu1214,GeForce 6800 Ultra,138
gpu1215,GeForce 6800 XE,58
gpu1216,GeForce 6800 XT,123
gpu1217,GeForce 7000M,13
gpu1218,GeForce 7000M / nForce 610M,12
gpu1220,GeForce 7025 / nForce 630a,32
gpu1221,GeForce 7050 / nForce 610i,25
gpu1222,GeForce 7050 / nForce 620i,41
gpu1223,GeForce 7050 / nForce 630i,37
gpu1224,GeForce 7050 PV / nForce 630a,31
gpu2781,GeForce 705M,455
gpu1225,GeForce 7100 / nForce 620i,26
gpu1226,GeForce 7100 / nForce 630i,41
gpu1227,GeForce 7100 GS,48
gpu2622,GeForce 710A,475
gpu2399,GeForce 710M,463
gpu1228,GeForce 7150 / nForce 630i,33
gpu1229,GeForce 7150M / nForce 630M,18
gpu1231,GeForce 7200 GS,23
gpu3977,GeForce 720A,614
gpu1232,GeForce 7300 GS,78
gpu1233,GeForce 7300 GT,136
gpu1235,GeForce 7300 LE,80
gpu1236,GeForce 7300 SE,39
gpu1238,GeForce 7300 SE/7200 GS,48
gpu3306,GeForce 730A,771
gpu1241,GeForce 7350 LE,74
gpu39,GeForce 7500 LE,89
gpu9,GeForce 7600 GS,157
gpu1243,GeForce 7600 GT,217
gpu1247,GeForce 7650 GS,134
gpu3519,GeForce 770M,3245
gpu1248,GeForce 7800 GS,177
gpu1249,GeForce 7800 GT,244
gpu1250,GeForce 7800 GTX,290
gpu1251,GeForce 7900 GS,253
gpu1252,GeForce 7900 GT,258
gpu1253,GeForce 7900 GT/GTO,247
gpu1254,GeForce 7900 GTX,387
gpu1255,GeForce 7950 GT,344
gpu1256,GeForce 7950 GX2,201
gpu3389,GeForce 7950 Xtreme,287
gpu3356,GeForce 800A,476
gpu3015,GeForce 800M,457
gpu1257,GeForce 8100 / nForce 720a,79
gpu3099,GeForce 810A,622
gpu3005,GeForce 810M,410
gpu1258,GeForce 8200,155
gpu1259,GeForce 8200M G,62
gpu3210,GeForce 820A,555
gpu2785,GeForce 820M,504
gpu2971,GeForce 825M,783
gpu1260,GeForce 8300,101
gpu1261,GeForce 8300 GS,115
gpu3094,GeForce 830A,1138
gpu2982,GeForce 830M,1008
gpu1262,GeForce 8400,81
gpu73,GeForce 8400 GS,149
gpu1264,GeForce 8400 SE,68
gpu1265,GeForce 8400M G,58
gpu1266,GeForce 8400M GS,112
gpu1268,GeForce 8400M GT,66
gpu3045,GeForce 840A,1179
gpu2873,GeForce 840M,1081
gpu3126,GeForce 845M,1506
gpu1270,GeForce 8500 GT,123
gpu1272,GeForce 8600 GS,91
gpu64,GeForce 8600 GT,117
gpu118,GeForce 8600 GTS,149
gpu1274,GeForce 8600M GS,70
gpu1275,GeForce 8600M GT,89
gpu1276,GeForce 8700M GT,124
gpu1277,GeForce 8800 GS,330
gpu1279,GeForce 8800 GT,493
gpu101,GeForce 8800 GTS,421
gpu63,GeForce 8800 GTS 512,575
gpu119,GeForce 8800 GTX,590
gpu1281,GeForce 8800 Ultra,642
gpu1284,GeForce 8800M GTS,382
gpu1285,GeForce 8800M GTX,462
gpu1286,GeForce 9100,81
gpu1287,GeForce 9100M G,68
gpu3285,GeForce 910M,591
gpu1288,GeForce 9200,165
gpu1289,GeForce 9200M GE,143
gpu1290,GeForce 9200M GS,111
gpu3565,GeForce 920A,849
gpu3192,GeForce 920M,725
gpu3520,GeForce 920MX,1083
gpu1291,GeForce 9300,126
gpu1292,GeForce 9300 / nForce 730i,128
gpu1293,GeForce 9300 GE,76
gpu1294,GeForce 9300 GS,102
gpu3128,GeForce 9300 SE,81
gpu1295,GeForce 9300GE,97
gpu1296,GeForce 9300M G,84
gpu1297,GeForce 9300M GS,87
gpu3417,GeForce 930A,1309
gpu3252,GeForce 930M,1013
gpu3549,GeForce 930MX,1295
gpu1298,GeForce 9400,98
gpu11,GeForce 9400 GT,132
gpu1299,GeForce 9400M,67
